City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nieuw Amsterdam,SR,2021-01-15 23:49:52,5.8833,-55.0833,77.0,88,40,9.22
68,Vaini,TO,2021-01-15 23:49:54,-21.2,-175.2,86.0,79,40,10.36
69,Mombasa,KE,2021-01-15 23:45:02,-4.0547,39.6636,76.77,86,20,4.81
70,Butaritari,KI,2021-01-15 23:49:54,3.0707,172.7902,81.34,79,51,21.05
71,Richards Bay,ZA,2021-01-15 23:49:54,-28.783,32.0377,77.29,88,84,14.18
72,Bambous Virieux,MU,2021-01-15 23:44:57,-20.3428,57.7575,80.01,94,40,6.91
73,Acapulco,MX,2021-01-15 23:46:55,16.8634,-99.8901,82.4,69,90,2.3
74,Milkovo,RU,2021-01-15 23:49:54,54.7167,158.6167,1.63,87,100,0.89
75,Klaksvik,FO,2021-01-15 23:46:53,62.2266,-6.589,41.0,87,75,29.93
76,Cidreira,BR,2021-01-15 23:49:54,-30.1811,-50.2056,76.55,83,12,20.62
77,Davila,PH,2021-01-15 23:49:54,18.4726,120.5763,71.6,83,20,5.75
78,Port Alfred,ZA,2021-01-15 23:49:54,-33.5906,26.891,66.0,90,29,1.99
79,General Roca,AR,2021-01-15 23:49:55,-39.0333,-67.5833,69.8,32,36,24.16
80,Mataura,NZ,2021-01-15 23:48:59,-46.1927,168.8643,73.0,63,14,8.99
81,Panjakent,TJ,2021-01-15 23:49:55,39.4952,67.6093,51.8,25,14,18.41
82,Te Anau,NZ,2021-01-15 23:49:55,-45.4167,167.7167,71.46,40,75,2.98
83,Krasnogorskoye,RU,2021-01-15 23:49:55,52.2953,86.1979,-1.46,88,95,3.51
84,North Bend,US,2021-01-15 23:49:55,43.4065,-124.2243,60.01,100,90,9.22
85,Sioux Lookout,CA,2021-01-15 23:49:55,50.1001,-91.917,30.2,93,90,5.75
86,Yinchuan,CN,2021-01-15 23:49:55,38.4681,106.2731,16.72,71,30,0.47
87,Nome,US,2021-01-15 23:49:55,64.5011,-165.4064,23.0,63,1,11.5
88,Codrington,AU,2021-01-15 23:49:55,-38.2667,141.9667,56.59,74,83,15.77
89,Mukacheve,UA,2021-01-15 23:49:55,48.4392,22.7178,16.0,85,95,3.31
90,Castelnaudary,FR,2021-01-15 23:49:55,43.3183,1.9545,41.0,81,0,13.8
91,Sahuaripa,MX,2021-01-15 23:49:56,29.05,-109.2333,75.92,20,0,3.02
92,Provideniya,RU,2021-01-15 23:49:56,64.3833,-173.3,13.46,94,100,5.7
93,Ende,ID,2021-01-15 23:49:56,-8.8432,121.6623,80.73,77,98,4.12
94,Bandarbeyla,SO,2021-01-15 23:49:56,9.4942,50.8122,73.47,79,13,14.58
95,Vila Velha,BR,2021-01-15 23:49:56,-20.3297,-40.2925,78.8,78,40,5.75
96,Dungarpur,IN,2021-01-15 23:49:56,23.8333,73.7167,62.37,36,0,9.08
97,Severo-Kurilsk,RU,2021-01-15 23:49:56,50.6789,156.125,28.45,95,100,11.05
98,Tuktoyaktuk,CA,2021-01-15 23:49:56,69.4541,-133.0374,-14.8,76,75,18.41
99,Vallenar,CL,2021-01-15 23:49:00,-28.5708,-70.7581,67.3,55,0,3.76
100,Karratha,AU,2021-01-15 23:49:56,-20.7377,116.8463,90.19,65,37,14.92
101,Cherskiy,RU,2021-01-15 23:49:57,68.75,161.3,-23.85,86,96,2.77
102,Airai,TL,2021-01-15 23:47:33,-8.9266,125.4092,64.53,100,100,1.16
103,Saskylakh,RU,2021-01-15 23:49:57,71.9167,114.0833,-20.47,85,100,15.48
104,Presidencia Roque Saenz Pena,AR,2021-01-15 23:49:57,-26.7852,-60.4388,73.4,88,90,17.27
105,Cabo San Lucas,MX,2021-01-15 23:49:57,22.8909,-109.9124,78.01,23,1,11.5
106,Hobart,AU,2021-01-15 23:45:33,-42.8794,147.3294,57.2,58,75,14.97
107,Kloulklubed,PW,2021-01-15 23:49:58,7.0419,134.2556,80.6,83,90,6.91
108,Mar Del Plata,AR,2021-01-15 23:49:28,-38.0023,-57.5575,75.2,69,0,11.5
109,Saint-Philippe,RE,2021-01-15 23:49:58,-21.3585,55.7679,78.8,83,0,5.75
110,Zapolyarnyy,RU,2021-01-15 23:49:58,69.4154,30.8136,32.0,100,90,9.22
111,Bathsheba,BB,2021-01-15 23:49:58,13.2167,-59.5167,78.8,65,20,20.71
112,Katsuura,JP,2021-01-15 23:47:06,35.1333,140.3,57.99,71,75,17.27
113,Ponta Delgada,PT,2021-01-15 23:49:58,37.7333,-25.6667,61.0,88,75,14.97
114,Kirakira,SB,2021-01-15 23:46:14,-10.4544,161.9205,79.39,85,100,6.93
115,Puerto Ayora,EC,2021-01-15 23:46:04,-0.7393,-90.3518,75.99,91,93,3.0
116,Hithadhoo,MV,2021-01-15 23:49:59,-0.6,73.0833,81.48,77,97,14.72
117,Samdrup Jongkhar,BT,2021-01-15 23:49:59,26.9167,91.6167,51.35,68,13,2.13
118,Znamenskoye,RU,2021-01-15 23:49:59,57.1281,73.8282,4.82,92,100,10.04
119,Sao Joao Da Barra,BR,2021-01-15 23:49:59,-21.6403,-41.0511,76.44,87,0,13.35
120,Saldanha,ZA,2021-01-15 23:47:10,-33.0117,17.9442,64.4,82,0,3.44
121,Lompoc,US,2021-01-15 23:49:59,34.6391,-120.4579,69.8,46,66,16.11
122,Chuy,UY,2021-01-15 23:46:08,-33.6971,-53.4616,72.55,83,97,13.31
123,Gondanglegi,ID,2021-01-15 23:49:59,-7.7479,112.0132,78.01,80,100,5.44
124,Camacha,PT,2021-01-15 23:49:59,33.0833,-16.3333,57.2,77,40,8.05
125,Lipin Bor,RU,2021-01-15 23:50:00,60.2622,37.9763,-10.12,90,100,6.55
126,Svetlogorsk,BY,2021-01-15 23:46:11,52.6333,29.7333,1.78,93,96,6.51
127,Buturlino,RU,2021-01-15 23:50:00,55.5667,44.8974,9.68,95,100,12.48
128,Portree,GB,2021-01-15 23:50:00,57.4129,-6.1942,42.01,88,100,32.01
129,Port Hedland,AU,2021-01-15 23:50:00,-20.3167,118.5667,89.6,58,33,9.22
130,Leningradskiy,RU,2021-01-15 23:50:00,69.3833,178.4167,-12.19,88,100,6.91
131,Abu Samrah,SY,2021-01-15 23:50:00,35.3029,37.1841,48.42,82,0,7.99
132,Fairbanks,US,2021-01-15 23:45:56,64.8378,-147.7164,17.6,67,1,3.44
133,Winneba,GH,2021-01-15 23:47:08,5.3511,-0.6231,80.6,94,75,8.05
134,Alta Floresta,BR,2021-01-15 23:50:01,-9.8756,-56.0861,72.99,96,83,3.09
135,New Norfolk,AU,2021-01-15 23:47:36,-42.7826,147.0587,57.0,59,57,3.0
136,Tigzirt,DZ,2021-01-15 23:50:01,36.8886,4.1198,49.48,72,52,6.24
137,Teocaltiche,MX,2021-01-15 23:50:01,21.4333,-102.5833,71.6,7,75,3.98
138,Yabrud,SY,2021-01-15 23:50:01,33.9674,36.6574,41.0,87,0,6.44
139,Pevek,RU,2021-01-15 23:50:03,69.7008,170.3133,-6.99,87,100,4.79
140,Kavieng,PG,2021-01-15 23:50:03,-2.5744,150.7967,75.6,92,100,12.97
