City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
220,Mamburao,PH,81.9,clear sky,13.25,120.6667,Navigator's Farm Resort
228,Kununurra,AU,91.4,scattered clouds,-15.7667,128.7333,Hotel Kununurra
230,Ambon,ID,86.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
231,Mogapi,BW,71.22,overcast clouds,-22.323,27.8349,
233,Buchanan,LR,77.0,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
235,Bosaso,SO,73.38,few clouds,11.2842,49.1816,Red Sea Hotel
236,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
237,Kavieng,PG,76.12,moderate rain,-2.5744,150.7967,Nusa Island Retreat
240,Chicama,PE,72.95,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
243,Auki,SB,82.99,moderate rain,-8.7676,160.7034,Auki Motel
244,Flinders,AU,71.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
246,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
250,Chuy,UY,72.54,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
251,Marawi,PH,81.0,broken clouds,7.9986,124.2928,Derogongan Residence
255,Ialibu,PG,73.18,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
256,Mocuba,MZ,75.67,overcast clouds,-16.8392,36.9856,Phama Lodge
257,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
263,Waipawa,NZ,73.4,broken clouds,-41.4122,175.5153,Tora Coastal Walk
269,Tomatlan,MX,73.98,overcast clouds,19.9333,-105.25,Norma franco
270,Wajir,KE,76.39,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
275,Sao Filipe,CV,72.54,overcast clouds,14.8961,-24.4956,Tortuga B&B
278,Poum,NC,82.99,light rain,-20.2333,164.0167,Gîte kajeon
282,Edd,ER,74.61,clear sky,13.9297,41.6925,
285,Lodwar,KE,80.56,clear sky,3.1191,35.5973,Turkwel Lodge
286,Vila Velha,BR,77.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
288,Te Anau,NZ,74.19,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
296,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
297,Aketi,CD,71.4,broken clouds,2.7388,23.7833,
308,Basco,PH,73.69,light rain,20.4487,121.9702,Nathaniel's Lodge
313,Celestun,MX,72.21,overcast clouds,20.8667,-90.4,Posada Lilia
314,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
323,Ode,NG,70.86,clear sky,7.7899,5.7117,MORALAB HOTEL
326,Adiake,CI,80.6,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
327,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
331,Rocha,UY,71.06,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
334,Tuatapere,NZ,73.0,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
335,Port Hedland,AU,93.2,broken clouds,-20.3167,118.5667,The Esplanade Hotel
338,Coruripe,BR,76.75,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
341,Manakara,MG,76.62,overcast clouds,-22.1333,48.0167,La Residence Manakara
342,Mackay,AU,89.01,overcast clouds,-21.15,149.2,International Lodge Motel
343,San Policarpo,PH,82.31,moderate rain,12.1791,125.5072,JM Lodge
344,Boende,CD,71.67,overcast clouds,-0.2167,20.8667,
347,Madang,PG,86.83,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
351,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
358,Sassandra,CI,77.49,clear sky,4.95,-6.0833,la terrasse
362,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
366,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
369,Tagusao,PH,81.88,overcast clouds,9.1924,117.8141,Toledo
371,San Pedro,PH,82.99,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
372,Zacatepec,MX,79.0,overcast clouds,18.65,-99.2,Capital O Villa El Paraíso
375,Weligama,LK,75.6,light rain,5.9667,80.4167,Weligama Bay Resort
378,Sibolga,ID,78.48,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
380,Eirunepe,BR,75.0,light rain,-6.6603,-69.8736,Atrás de você
381,Isangel,VU,83.86,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
383,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
384,Banjar,ID,75.2,broken clouds,-8.19,114.9675,The Hamsa Resort
386,Gambela,ET,73.98,clear sky,8.25,34.5833,Solomon Debebe Hotel
387,Vangaindrano,MG,76.64,few clouds,-23.35,47.6,Hotel Fanilo
397,Batticaloa,LK,77.27,broken clouds,7.7102,81.6924,Grand Star Guest House
398,Eyl,SO,72.12,scattered clouds,7.9803,49.8164,Amiin Hotel
400,Tarakan,ID,80.6,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
401,Limon,CR,78.8,clear sky,10.0,-83.0333,Hotel Playa Bonita
403,Micheweni,TZ,78.75,few clouds,-4.9667,39.8333,
404,Cotonou,BJ,80.6,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
406,Alofi,NU,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
408,Oeiras,BR,78.44,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
418,Itarema,BR,79.36,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
423,Mareeba,AU,86.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
424,Soyo,AO,78.28,overcast clouds,-6.1349,12.3689,Hotel Mpampa
426,Humberto De Campos,BR,76.66,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
429,Alice Springs,AU,80.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
430,Namibe,AO,72.95,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
431,Namatanai,PG,84.25,light rain,-3.6667,152.4333,Namatanai Hotel
434,Cidreira,BR,76.75,scattered clouds,-30.1811,-50.2056,Hotel Castelo
439,Ende,ID,81.59,light rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
447,The Valley,AI,78.01,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
454,Dzaoudzi,YT,78.8,clear sky,-12.7887,45.2699,Le Rocher
456,Sibu,MY,73.4,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
463,Padang,ID,79.16,overcast clouds,-0.9492,100.3543,Mercure Padang
466,Bubaque,GW,77.22,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
469,Sinnamary,GF,77.29,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,San Juan,AR,86.25,light rain,-31.5375,-68.5364,Hotel Provincial
